"","species","ID.number","date.collected","date.dissected","station","depth","habitat","island","fishingstatus","TL","SL","TWW","gonads","gonad.voucher","stomach.voucher","TREM.ALL","NEM.ALL","CEST.ALL","COP.ALL","ISO.ALL"
"95","PARARC","2594","11/5/10","6/6/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",105,86,23.37,"?",9854,9852,3,0,0,0,0
"96","PARARC","2595","11/5/10","5/31/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",86,75,9.7093,"?",NA,16357,0,0,0,0,0
"97","PARARC","2596","11/5/10","6/7/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",83,69,11.05,"F3",9548,9249,0,0,0,0,0
"98","PARARC","3364","11/5/10","6/6/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",101.7,84.7,20.1,"?",8966,8855,1,0,0,0,0
"99","PARARC","3365","11/5/10","6/7/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",107.6,86.5,20.86,"?",NA,9262,0,0,0,0,0
"100","PARARC","3368","11/5/10","6/6/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",108.2,89.6,21.47,"?",NA,9849,2,1,0,0,0
"101","PARARC","3372","11/5/10","6/7/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",108.4,88.6,21.54,"?",NA,9858,1,0,0,0,0
"102","PARARC","3373","11/5/10","6/7/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",94.6,77.7,14.03,"?",9556,9555,0,0,0,0,0
"103","PARARC","3374","11/5/10","6/6/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",90.6,74.7,12.78,"F3",12654,13472,0,0,0,0,0
"104","PARARC","3376","11/5/10","6/6/12","TAB-2010-F1",65,"forereef","Tabuaeran","fished",106.7,87.5,20.9,"?",NA,9268,0,0,0,0,0
"105","PARARC","305","11/9/10","6/6/12","TER-2010-F2",35,"forereef","Teraina","fished",114.9,94.6,28304,"?",9813,9509,2,3,0,0,0
"106","PARARC","308","11/9/10","5/31/12","TER-2010-F2",35,"forereef","Teraina","fished",89.8,75,13.6687,"?",17159,16342,0,0,0,0,0
"107","PARARC","1146","11/10/10","6/6/12","TER-2010-F7",35,"forereef","Teraina","fished",104.9,88.1,20.03,"?",8922,9538,1,0,1,0,0
"108","PARARC","1148","11/10/10","6/1/12","TER-2010-F7",35,"forereef","Teraina","fished",113.9,89.8,22.19,"?",NA,13520,1,0,0,0,0
"109","PARARC","3441","11/9/10","6/1/12","TER-2010-F1",60,"forereef","Teraina","fished",101,85,16.28,"F3",13912,13918,58,3,0,0,0
"110","PARARC","3442","11/9/10","6/4/12","TER-2010-F1",60,"forereef","Teraina","fished",115,93,26.19,"?",NA,13538,0,0,0,0,0
"111","PARARC","3443","11/9/10","6/1/12","TER-2010-F1",60,"forereef","Teraina","fished",102,82,20.46,"?",13589,13977,1,0,0,0,0
"112","PARARC","3444","11/9/10","5/31/12","TER-2010-F1",60,"forereef","Teraina","fished",86,69,10.5,"?",15934,16985,1,0,0,0,0
"113","PARARC","3446","11/9/10","6/1/12","TER-2010-F1",60,"forereef","Teraina","fished",104,87,32.36,"?",13941,13540,6,0,0,0,0
"114","PARARC","3447","11/9/10","5/31/12","TER-2010-F1",60,"forereef","Teraina","fished",124,99,36.8938,"?",16338,17131,13,0,0,0,0
"115","PARARC","3448","11/9/10","6/1/12","TER-2010-F1",60,"forereef","Teraina","fished",117,94,228.27,"?",13474,13484,9,0,0,0,0
"116","PARARC","3450","11/9/10","5/31/12","TER-2010-F1",60,"forereef","Teraina","fished",92,77,17.025,"F3",17134,15905,11,0,0,0,0
"117","PARARC","3451","11/9/10","6/1/12","TER-2010-F1",60,"forereef","Teraina","fished",106,86,21.98,"?",13439,13933,3,0,0,0,0
"118","PARARC","3452","11/9/10","6/1/12","TER-2010-F1",60,"forereef","Teraina","fished",114,93,27.42,"?",NA,13010,4,0,0,0,0
"119","PARARC","3454","11/9/10","6/1/12","TER-2010-F1",60,"forereef","Teraina","fished",120,98,32.7,"?",13125,13868,9,1,0,0,0
"120","PARARC","3455","11/9/10","6/1/12","TER-2010-F1",60,"forereef","Teraina","fished",97,78,14.14,"F3",13928,13931,18,3,0,0,0
"121","PARARC","3462","11/8/10","6/6/12","TER-2010-F1",60,"forereef","Teraina","fished",119,96,30.55,"?",9500,9511,7,0,0,0,0
"122","PARARC","3463","11/8/10","5/31/12","TER-2010-F1",60,"forereef","Teraina","fished",90,73,11.544,"?",16157,17126,0,0,0,0,0
"123","PARARC","3464","11/8/10","5/31/12","TER-2010-F1",60,"forereef","Teraina","fished",88,68,11.06,"?",17151,16747,2,0,0,0,0
"124","PARARC","3467","11/8/10","5/31/12","TER-2010-F1",60,"forereef","Teraina","fished",103,83,17.091,"F3",15918,17111,2,0,0,0,0
"125","PARARC","3468","11/8/10","6/6/12","TER-2010-F1",60,"forereef","Teraina","fished",117,94,26.66,"?",9496,9503,26,0,0,0,0
"126","PARARC","3470","11/8/10","6/1/12","TER-2010-F1",60,"forereef","Teraina","fished",99,82,16.89,"?",13541,13537,1,0,0,0,0
"127","PARARC","3472","11/8/10","5/31/12","TER-2010-F1",60,"forereef","Teraina","fished",99,82,15.2365,"?",16733,16337,10,1,0,0,0
"128","PARARC","3489","11/8/10","6/1/12","TER-2010-F1",60,"forereef","Teraina","fished",108,96,26.86,"?",13518,13917,4,2,0,0,0
"129","PARARC","3493","11/8/10","5/31/12","TER-2010-F1",60,"forereef","Teraina","fished",101,82,15.0461,"?",16331,16746,1,3,0,0,0
