fish_id,fish_species,date_collected,island,fishing_status,station,fish_depth,fish_habitat,total_length_mm,fork_length_mm,standard_length_mm,total_wet_weight_grams,trematodes_count,cestodes_count,copepods_count,isopods_count,nematodes_count,monogenians_count,gnathopods_count
128,ACANIG,05/15/14,Kiritimati,fished,KIR-2010-30,35,forereef,206,194,163,217.99,356,2,0,0,1,0,0
129,ACANIG,05/15/14,Kiritimati,fished,KIR-2010-30,35,forereef,158,150,122,94.33,671,2,0,0,0,0,0
130,ACANIG,05/15/14,Kiritimati,fished,KIR-2010-30,35,forereef,161,148,121,95.91,501,0,0,0,1,0,0
131,ACANIG,05/13/14,Kiritimati,fished,KIR-2010-30,35,forereef,161,151,126,96.81,461,2,0,0,0,0,0
132,ACANIG,05/13/14,Kiritimati,fished,KIR-2010-30,35,forereef,163,153,124,96.45,292,2,0,0,0,0,0
133,ACANIG,05/13/14,Kiritimati,fished,KIR-2010-30,35,forereef,202,193,160,188.2,605,2,0,0,0,0,0
134,ACANIG,05/13/14,Kiritimati,fished,KIR-2010-30,35,forereef,194,178,150,177.9,1189,0,0,0,1,0,0
135,ACANIG,05/13/14,Kiritimati,fished,KIR-2010-30,35,forereef,206,190,164,232.25,1238,0,0,0,0,0,0
136,CEPURO,11/12/10,Jarvis,Unfished,JAR-2010-F1,45,forereef,175,,150,77.89,58,0,5,0,0,5,0
137,CEPURO,11/12/10,Jarvis,Unfished,JAR-2010-F1,45,forereef,206,,170,141,389,0,0,0,7,0,0
138,CEPURO,11/12/10,Jarvis,Unfished,JAR-2010-F1,45,forereef,201,,172,147,318,0,1,0,0,0,0
139,CEPURO,11/12/10,Jarvis,Unfished,JAR-2010-F1,45,forereef,145,,121,50.23,50,0,1,0,1,0,0
140,CEPURO,11/12/10,Jarvis,Unfished,JAR-2010-F1,45,forereef,137,,110,49.45,2,0,1,0,0,1,0
141,CEPURO,11/12/10,Jarvis,Unfished,JAR-2010-F1,45,forereef,165,,138,72.63,46,0,0,0,13,0,0
142,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F2,50,forereef,131,,109,41.29,13,0,0,0,0,0,0
143,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F2,50,forereef,135,,113,41.02,75,0,0,0,23,0,0
144,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F2,50,forereef,147,,122,50.96,124,0,0,0,1,0,1
145,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F2,50,forereef,154,,125,63.65,113,0,0,0,0,0,2
146,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F2,50,forereef,130,,105,37.36,5,0,0,0,3,0,0
147,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F2,50,forereef,125,,104,NA,45,0,0,0,0,0,0
148,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F2,50,forereef,146,,116,53.82,215,0,0,0,30,0,3
149,CEPURO,11/13/10,Jarvis,Unfished,JAR-2010-F2,50,forereef,114,,103,31.78,38,0,0,0,3,0,0
